=	v-w1f1	=-001
projevit	v-w4392hsa_443	projevit-003
projevit	v-w4392f1	projevit-003	substituted with v-w4392hsa_443
projevit	v-w4392f4_ZU	projevit-003	substituted with v-w4392hsa_443
projevit	v-w4392f5_ZU	projevit-003	substituted with v-w4392hsa_443
projevit se	v-w4393f1	projevit se-002
projevit se	v-w4393f2	projevit se-001
projevit se	v-w4393f3	projevit se-003
projevovat	v-w4394f2	projevovat-001
projevovat	v-w4394f3	projevovat-002
projevovat	v-w4394hsa_723	projevovat-003
projevovat	v-w4394f1	projevovat-003	substituted with v-w4394hsa_723
projevovat se	v-w4395f1	projevovat se-002
projevovat se	v-w4395f2	projevovat se-001
projevovat se	v-w4395f3	projevovat se-003
projezdit	v-whsa_173f1_ZU	projezdit-001
projezdit	v-whsa_173hsa_174	projezdit-001	substituted with v-whsa_173f1_ZU
projít	v-w4396f1	projít-005
projít	v-w4396f2	projít-006
projít	v-w4396f3	projít-004
projít	v-w4396f4	projít-001
projít	v-w4396f5	projít-002
projít	v-w4396f6	projít-009
projít	v-w4396f8	projít-008
projít	v-w4396f9	projít-007
projít	v-w4396f11_ZU	projít-003
projít	v-w4396f7	projít-003	substituted with v-w4396f11_ZU
projít	v-w4396f10_ZU	projít-003	substituted with v-w4396f11_ZU
projít	v-w4396hsa_1956	projít-003	substituted with v-w4396f11_ZU
projít	v-w4396f12_ZU	projít-010
projít se	v-w4397f1	projít se-001
projít si	v-w11565_ZUf2_ZU	projít si-002
projít si	v-w11565_ZUf3_ZU	projít si-001
projít si	v-w11565_ZUf1_ZU	projít si-001	substituted with v-w11565_ZUf3_ZU
projíždět	v-w4398f1	projíždět-001
projíždět	v-w4398f2_ZU	projíždět-002
projíždět	v-w4398hsa_359	projíždět-002	substituted with v-w4398f2_ZU
projíždět se	v-whsa_1810hsa_1811	projíždět se-001
prokazovat	v-w4402f2	prokazovat-003
prokazovat	v-w4402f3_ZU	prokazovat-001
prokazovat	v-w4402f4_ZU	prokazovat-002
prokazovat	v-w4402f1	prokazovat-002	substituted with v-w4402f4_ZU
proklamovat	v-w4407f1	proklamovat-001
proklestit	v-w4408f1	proklestit-001
proklimbat	v-w12237_ZUf1_ZU	proklimbat-001
prokličkovat	v-w10619f2	prokličkovat-001
proklouznout	v-w10135f2	proklouznout-001
prokládat	v-w10220f2	prokládat-001
proklít	v-whsa_1964hsa_1965	proklít-001
prokopat se	v-whsa_818f1_ZU	prokopat se-001
prokopat se	v-whsa_818hsa_819	prokopat se-001	substituted with v-whsa_818f1_ZU
prokopnout se	v-w11406f2	prokopnout se-001
prokouknout	v-w4410f1	prokouknout-001
prokousat se	v-w4411f1	prokousat se-001
prokousávat se	v-w11396f1	prokousávat se-001
prokrvovat se	v-w11357f1	prokrvovat se-001
prokázat	v-w4400f2	prokázat-002
prokázat	v-w4400f3_ZU	prokázat-001
prokázat	v-w4400f1	prokázat-001	substituted with v-w4400f3_ZU
prokázat	v-w4400hsa_1241	prokázat-003
prokázat se	v-w4401f1	prokázat se-003
prokázat se	v-w4401f2	prokázat se-001
prokázat se	v-w4401f3_ZU	prokázat se-002
prokňučet	v-w4409f1	prokňučet-001
prokřičet se	v-w11321f1	prokřičet se-001
prolamovat	v-w4413f1	prolamovat-001
proletět	v-w11566_ZUf1_ZU	proletět-001
proletět se	v-whsb_882hsa_883	proletět se-001
proležet	v-w4414f1	proležet-001
proležet	v-w4414f2	proležet-002
prolistovat	v-w4417f1	prolistovat-001
prolnout	v-w4418f1	prolnout-001
prolomit	v-w4421f1	prolomit-001
prolomit	v-w4421hsa_5	prolomit-002
prolomit se	v-whsa_1234f1_ZU	prolomit se-002
prolomit se	v-whsa_1234hsa_1235	prolomit se-001
prolongovat	v-w11179f2	prolongovat-001
prolétnout	v-whsa_486hsa_487	prolétnout-001
prolévat	v-whsb_663f2_ZU	prolévat-001
prolévat	v-whsb_663f1_ZU	prolévat-001	substituted with v-whsb_663f2_ZU
prolévat	v-whsb_663hsa_664	prolévat-001	substituted with v-whsb_663f2_ZU
prolézat	v-whsb_1278hsa_1279	prolézat-001
prolézt	v-whsb_676hsa_677	prolézt-001
prolínat se	v-w4416f1	prolínat se-001
prolínat se	v-w4416f2_MM	prolínat se-002
prolítnout	v-w12281_ZUf1_ZU	prolítnout-001
promarnit	v-w4422f1	promarnit-001
promarodit	v-w4423f1	promarodit-001
promenádovat se	v-w12162_ZUf1_ZU	promenádovat se-001
promeškat	v-w10778f2	promeškat-001
prominout	v-w4433f1	prominout-001
promlouvat	v-w4442f1	promlouvat-001
promluvit	v-w4444f1	promluvit-001
promluvit	v-w4444f2	promluvit-002
promluvit	v-w4444f3	promluvit-003
promluvit	v-w4444f4	promluvit-004
promluvit si	v-w4445f1	promluvit si-001
promlčet	v-w4441f1	promlčet-001
promnout	v-w11986_ZUf1_ZU	promnout-001
promnout se	v-w11987_ZUf1_ZU	promnout se-001
promovat	v-whsa_196hsa_197	promovat-001
promočit	v-whsa_368hsa_369	promočit-001
promrhat	v-w11104f2	promrhat-001
promrhávat	v-w10360f2	promrhávat-001
promrzat	v-w11951_ZUf1_ZU	promrzat-001
promyslet	v-w4446f1	promyslet-001
promyslit	v-w4447f1	promyslit-001
promáčet	v-w10984f2	promáčet-001
promíchat	v-w4430f1	promíchat-001
promíchat	v-w4430hsa_1941	promíchat-002
promíjet	v-w10224f3	promíjet-001
promítat	v-w4436f1	promítat-001
promítat se	v-w4437f1	promítat se-002
promítat se	v-w4437f2	promítat se-001
promítnout	v-w4438f1	promítnout-002
promítnout	v-w4438f2	promítnout-003
promítnout	v-w4438f3	promítnout-001
promítnout se	v-w4439f1	promítnout se-002
promítnout se	v-w4439f2	promítnout se-001
promítnout si	v-w12180_ZUf1_ZU	promítnout si-001
promýšlet	v-w4449f1	promýšlet-001
proměnit	v-w4426f1	proměnit-002
proměnit	v-w4426f2	proměnit-001
proměnit	v-w4426f3_ZU	proměnit-003
proměnit	v-w4426hsa_386	proměnit-003	substituted with v-w4426f3_ZU
proměnit se	v-w4427f1	proměnit se-001
proměňovat	v-w4428f1	proměňovat-002
proměňovat	v-w4428f2	proměňovat-001
proměňovat se	v-w4429f1	proměňovat se-001
pronajmout	v-w4454f1	pronajmout-001
pronajmout	v-w4454f2	pronajmout-002
pronajímat	v-w4452f1	pronajímat-001
pronajímat	v-w4452f2	pronajímat-002
pronikat	v-w4461f1	pronikat-001
proniknout	v-w4462f1	proniknout-003
proniknout	v-w4462f2	proniknout-001
proniknout	v-w4462f3	proniknout-002
proniknout	v-w4462hsa_187	proniknout-004
pronásledovat	v-w4457f1	pronásledovat-001
pronášet	v-w4458f1	pronášet-001
pronášet	v-w4458f2	pronášet-002
pronést	v-w4459f1	pronést-001
pronést	v-w4459f2	pronést-002
propadat	v-w4466f1	propadat-001
propadat	v-w4466f2	propadat-002
propadat	v-w4466hsa_621	propadat-003
propadat	v-w4466hsa_622	propadat-004
propadat se	v-w11567_ZUf3_ZU	propadat se-001
propadat se	v-w11567_ZUf1_ZU	propadat se-001	substituted with v-w11567_ZUf3_ZU
propadat se	v-w11567_ZUf2_ZU	propadat se-001	substituted with v-w11567_ZUf3_ZU
propadat se	v-w11567_ZUf4_ZU	propadat se-002
propadnout	v-w4467f1	propadnout-003
propadnout	v-w4467f2	propadnout-002
propadnout	v-w4467f3	propadnout-004
propadnout	v-w4467f4_ZU	propadnout-005
propadnout	v-w4467f5_ZU	propadnout-001
propadnout se	v-w4468f5_ZU	propadnout se-001
propadnout se	v-w4468f1	propadnout se-001	substituted with v-w4468f5_ZU
propadnout se	v-w4468f2_ZU	propadnout se-001	substituted with v-w4468f5_ZU
propadnout se	v-w4468f3_ZU	propadnout se-001	substituted with v-w4468f5_ZU
propadnout se	v-w4468f4_ZU	propadnout se-001	substituted with v-w4468f5_ZU
propadnout se	v-w4468f6_MM	propadnout se-002
propagovat	v-w4474f1	propagovat-001
propašovat	v-w4479f1	propašovat-001
proplachovat	v-whsa_597hsa_598	proplachovat-001
proplakat	v-w11954_ZUf1_ZU	proplakat-001
proplatit	v-w4485f1	proplatit-001
proplout	v-whsa_1820hsa_1821	proplout-001
proplouvat	v-whsa_1736hsa_1737	proplouvat-001
proplácet	v-w4484f1	proplácet-001
proplést	v-w11183f2	proplést-001
proplétat	v-w4486f1	proplétat-001
proplétat se	v-w4487f1	proplétat se-001
proplétat se	v-w4487f2_ZU	proplétat se-002
proplétat se	v-w4487f3_ZU	proplétat se-003
proplít	v-whsa_1784hsa_1785	proplít-001
proplížit se	v-w11382f1	proplížit se-001
proplýtvat	v-w10540f2	proplýtvat-001
propojit	v-w4493f1	propojit-003
propojit	v-w4493f3	propojit-001
propojit	v-w4493f4_ZU	propojit-002
propojit	v-w4493f2	propojit-002	substituted with v-w4493f4_ZU
propojit	v-w4493hsa_1948	propojit-004
propojit se	v-w4494f1	propojit se-001
propojovat	v-w4496f1	propojovat-002
propojovat	v-w4496f2	propojovat-001
propouštět	v-w4498f2_ZU	propouštět-002
propouštět	v-w4498f3_ZU	propouštět-001
propouštět	v-w4498f1	propouštět-001	substituted with v-w4498f3_ZU
propočíst	v-w4490f1	propočíst-001
propočítávat	v-w4491f1	propočítávat-001
propracovat	v-w4501f1	propracovat-001
propracovat se	v-w4502f1	propracovat se-002
propracovat se	v-w4502f2	propracovat se-001
propracovávat se	v-w4503f1	propracovávat se-001
propršet	v-w11972_ZUf1_ZU	propršet-001
propsat	v-whsa_2039hsa_2040	propsat-001
propukat	v-whsa_980hsa_981	propukat-001
propuknout	v-w4506f1	propuknout-001
propuknout	v-w4506hsa_1773	propuknout-002
propustit	v-w4508f1	propustit-001
propustit	v-w4508f2	propustit-002
propálit	v-w4476f1	propálit-001
propálit se	v-w4477f1	propálit se-001
propálit se	v-w4477f2	propálit se-002
propásnout	v-w4478f1	propásnout-001
propást	v-w10108f2	propást-001
propíchat	v-w4480f1	propíchat-001
propíchnout	v-w4481f1	propíchnout-001
propírat	v-w10625f2	propírat-001
propít	v-w4482f1	propít-001
propůjčit	v-w4505f1	propůjčit-001
propůjčovat	v-w10735f2	propůjčovat-001
prorazit	v-w4510f1	prorazit-001
prorazit	v-w4510f2	prorazit-003
prorazit	v-w4510f3	prorazit-004
prorazit	v-w4510f4	prorazit-002
prorazit	v-w4510f5	prorazit-005
prorezavět	v-w4514f1	prorezavět-001
prorokovat	v-w10555f2	prorokovat-001
prorážet	v-w4512f1	prorážet-001
prorážet	v-w4512f2	prorážet-002
prorůstat	v-w4517f1	prorůstat-002
prorůstat	v-w4517f2	prorůstat-001
prorůstat	v-w4517f3_ZU	prorůstat-003
prosadit	v-w4519f1	prosadit-002
prosadit	v-w4519f2	prosadit-001
prosadit	v-w4519f3	prosadit-003
prosadit se	v-w4520f1	prosadit se-001
prosakovat	v-w10892f3	prosakovat-001
prosakovat	v-w10892f4_MM	prosakovat-002
prosakovat	v-w10892hsa_1234	prosakovat-003
prosazovat	v-w4527f1	prosazovat-001
prosazovat se	v-w4528f1	prosazovat se-001
prosedět	v-w10885f2	prosedět-001
prosekat	v-w11257f1	prosekat-001
prosekat se	v-w4531f1	prosekat se-001
prosekávat	v-w10322f3	prosekávat-001
prosit	v-w4532f3_ZU	prosit-001
prosit	v-w4532f1	prosit-001	substituted with v-w4532f3_ZU
prosit	v-w4532f2_ZU	prosit-001	substituted with v-w4532f3_ZU
prosit	v-w4532hsa_1404	prosit-001	substituted with v-w4532f3_ZU
proskočit	v-w4533f1	proskočit-002
proskočit	v-w4533f2	proskočit-001
proslavit	v-w4534f1	proslavit-001
proslavit se	v-w4535f1	proslavit se-001
proslechnout se	v-w11375f1	proslechnout se-001
proslout	v-w4536f1	proslout-001
proslovit	v-w4537f1	proslovit-001
proslýchat se	v-w4539f2_ZU	proslýchat se-001
proslýchat se	v-w4539f1	proslýchat se-001	substituted with v-w4539f2_ZU
prosmát	v-whsa_410f1_ZU	prosmát-001
prosmát	v-whsa_410hsa_411	prosmát-001	substituted with v-whsa_410f1_ZU
prosmát se	v-w11569_ZUf1_ZU	prosmát se-001
prosmát se	v-w11569_ZUhsa_293	prosmát se-002
prosolovat	v-w11691_ZUf1_ZU	prosolovat-001
prospat	v-w11471f1	prospat-001
prospat se	v-w4540f1	prospat se-001
prosperovat	v-w4543f2_ZU	prosperovat-001
prosperovat	v-w4543f1	prosperovat-001	substituted with v-w4543f2_ZU
prosperovat	v-w4543hsa_983	prosperovat-001	substituted with v-w4543f2_ZU
prospívat	v-w4547f1	prospívat-001
prospívat	v-w4547f2	prospívat-002
prospět	v-w4545f1	prospět-001
prospět	v-w4545f2	prospět-002
prostavět	v-w4548f1	prostavět-002
prostavět	v-w4548f2	prostavět-001
prostavět	v-w4548hsa_1661	prostavět-003
prostavět se	v-w4549f1	prostavět se-001
prostituovat se	v-w4550f1	prostituovat se-001
prostoupit	v-w4553f1	prostoupit-001
prostoupit	v-w4553f2	prostoupit-002
prostrkat	v-w10526f2	prostrkat-001
prostrčit	v-w4554f1	prostrčit-002
prostrčit	v-w4554f2	prostrčit-001
prostudovat	v-w4559f1	prostudovat-001
prostudovávat	v-whsa_992hsa_993	prostudovávat-001
prostupovat	v-w4561f1	prostupovat-002
prostupovat	v-w4561f2	prostupovat-001
prostřelit	v-w4556f1	prostřelit-001
prostřihnout	v-whsb_529hsa_530	prostřihnout-001
prostřídat se	v-w11378f1	prostřídat se-001
prostříhat	v-w4557f1	prostříhat-001
prostříhat	v-w4557hsa_535	prostříhat-002
prostřít	v-whsa_374hsa_375	prostřít-001
prosvištět	v-w10329f2	prosvištět-001
prosvítat	v-w4563f1	prosvítat-001
prosvítit	v-whsa_934hsa_935	prosvítit-001
prosvětlit	v-w10427f2	prosvětlit-001
prosvětlovat	v-w12358_MMf1_MM	prosvětlovat-001
prosychat	v-w11759_ZUf1_ZU	prosychat-001
prosáknout	v-w4522f1	prosáknout-003
prosáknout	v-w4522f2	prosáknout-002
prosáknout	v-w4522f3	prosáknout-001
prosít	v-whsa_1318hsa_1319	prosít-001
protahovat	v-w4571f1	protahovat-001
protahovat	v-w4571f2_ZU	protahovat-003
protahovat	v-w4571hsa_1292	protahovat-002
protancovat	v-w12034_ZUf1_ZU	protancovat-001
protavit se	v-whsb_153hsa_154	protavit se-001
protestovat	v-w4575f3_ZU	protestovat-001
protestovat	v-w4575f1	protestovat-001	substituted with v-w4575f3_ZU
protestovat	v-w4575f2_ZU	protestovat-001	substituted with v-w4575f3_ZU
protežovat	v-w4577f1	protežovat-001
protiřečit	v-w11092f2	protiřečit-001
protkat	v-w4588f1	protkat-001
protkávat	v-w10694f2	protkávat-001
protlačit	v-w11070f3	protlačit-001
protlačovat	v-w11099f2	protlačovat-001
protloukat	v-w12266_ZUf1_ZU	protloukat-001
protloukat se	v-w11704_ZUf3_MM	protloukat se-001
protloukat se	v-w11704_ZUf1_ZU	protloukat se-001	substituted with v-w11704_ZUf3_MM
protloukat se	v-w11704_ZUf2_ZU	protloukat se-001	substituted with v-w11704_ZUf3_MM
protnout	v-w10396f2	protnout-001
protnout	v-w10396f3_ZU	protnout-002
protnout se	v-whsa_754hsa_755	protnout se-001	obsolete
protrhat se	v-whsa_228hsa_229	protrhat se-001
protrhnout	v-w4592f1	protrhnout-001
protrhnout	v-w4592f2	protrhnout-003
protrhnout	v-w4592f3	protrhnout-002
protrhnout se	v-w4593f1	protrhnout se-001
protrhávat	v-w4590f1	protrhávat-001
protrhávat se	v-w4591f1	protrhávat se-001
protrpět	v-w4594f1	protrpět-001
protáhnout	v-w4568f1	protáhnout-001
protáhnout	v-w4568f2	protáhnout-002
protáhnout	v-w4568f3_ZU	protáhnout-003
protáhnout se	v-w4569f2	protáhnout se-002
protáhnout se	v-w4569f5_ZU	protáhnout se-001
protáhnout se	v-w4569f1	protáhnout se-001	substituted with v-w4569f5_ZU
protáhnout se	v-w4569f3_ZU	protáhnout se-001	substituted with v-w4569f5_ZU
protáhnout se	v-w4569f4_ZU	protáhnout se-001	substituted with v-w4569f5_ZU
protáhnout se	v-w4569f6_ZU	protáhnout se-003
protáhnout se	v-w4569f7_ZU	protáhnout se-004
protáhnout se	v-w4569hsa_850	protáhnout se-005
protéci	v-w4572f1	protéci-001
protékat	v-w4573f1	protékat-001
protékat	v-w4573hsa_1262	protékat-002
protínat	v-w4581f1	protínat-001
protínat se	v-whsb_499hsa_500	protínat se-001	obsolete
protřást	v-whsa_1738hsa_1739	protřást-001
protřídit	v-whsa_1223hsa_1224	protřídit-001
proudit	v-w4597f1	proudit-001
proukázat	v-w4598f1	proukázat-001
provalit	v-w4602f1	provalit-001
provalit se	v-w11392f1	provalit se-001
provalit se	v-w11392hsa_1660	provalit se-002
provdat	v-w4606f1	provdat-001
provdat se	v-w4607f1	provdat se-001
provinit se	v-w4621f1	provinit se-001
provokovat	v-w4624f2_ZU	provokovat-001
provokovat	v-w4624f1	provokovat-001	substituted with v-w4624f2_ZU
provolat	v-w10837f2	provolat-002
provolat	v-w10837f3_ZU	provolat-001
provolávat	v-w4625f2	provolávat-001
provolávat	v-w4625f1	provolávat-001	substituted with v-w4625f2
provozovat	v-w4628f1	provozovat-001
provozovat	v-w4628f2_ZU	provozovat-002
provozovat	v-w4628hsa_1626	provozovat-003
provrtat	v-w10099f2	provrtat-001
provádět	v-w4601f1	provádět-003
provádět	v-w4601f2	provádět-001
provádět	v-w4601f4	provádět-002
provádět	v-w4601f5	provádět-005
provádět	v-w4601f6	provádět-004
provádět	v-w4601f13_ZU	provádět-008
provádět	v-w4601f19_MM	provádět-006
provádět	v-w4601f3	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f7_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f8_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f9_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f10_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f11_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f12_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f14_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f15_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f16_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f17_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601f18_ZU	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601hsa_175	provádět-006	substituted with v-w4601f19_MM
provádět	v-w4601hsa_176	provádět-007
proválčit	v-whsa_338f1_ZU	proválčit-001
proválčit	v-whsa_338hsa_339	proválčit-001	substituted with v-whsa_338f1_ZU
proválčit	v-whsa_338f2_ZU	proválčit-002
proválčit	v-whsa_338hsa_340	proválčit-002	substituted with v-whsa_338f2_ZU
provázet	v-w4605f1	provázet-001
provázet	v-w4605f2	provázet-002
provážet	v-w12097_ZUf1_ZU	provážet-001
provést	v-w4616f1	provést-002
provést	v-w4616f3	provést-003
provést	v-w4616f4	provést-001
provést	v-w4616f15_ZU	provést-005
provést	v-w4616f5	provést-005	substituted with v-w4616f15_ZU
provést	v-w4616f22_ZU	provést-006
provést	v-w4616f25_MM	provést-004
provést	v-w4616f2	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f6	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f7_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f8_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f9_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f10_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f11_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f12_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f13_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f14_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f16_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f17_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f18_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f19_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f20_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f21_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f23_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f24_ZU	provést-004	substituted with v-w4616f25_MM
provést	v-w4616hsa_93	provést-004	substituted with v-w4616f25_MM
provést	v-w4616hsa_133	provést-004	substituted with v-w4616f25_MM
provést	v-w4616f26_MM	provést-007
provést	v-w4616hsa_92	provést-007	substituted with v-w4616f26_MM
provézt	v-w4619f1	provézt-001
provětrat	v-w4617f1	provětrat-001
provětrat	v-w4617f2_ZU	provětrat-002
provětrávat	v-w10545f2	provětrávat-001
prověřit	v-w4613f1	prověřit-001
prověřovat	v-w4615f1	prověřovat-001
prozkoumat	v-w4633f1	prozkoumat-001
prozkoumat	v-w4633f4_ZU	prozkoumat-002
prozkoumat	v-w4633f2_ZU	prozkoumat-002	substituted with v-w4633f4_ZU
prozkoumat	v-w4633f3_ZU	prozkoumat-002	substituted with v-w4633f4_ZU
prozkoumat	v-w4633hsa_505	prozkoumat-002	substituted with v-w4633f4_ZU
prozkoumávat	v-w10743f2	prozkoumávat-001
prozpívat	v-whsa_508f2_ZU	prozpívat-001
prozpívat	v-whsa_508f1_ZU	prozpívat-001	substituted with v-whsa_508f2_ZU
prozpívat	v-whsa_508hsa_509	prozpívat-001	substituted with v-whsa_508f2_ZU
prozpívat se	v-w11570_ZUf1_ZU	prozpívat se-001
prozpívat se	v-w11570_ZUf2_ZU	prozpívat se-002
prozpívat se	v-w11570_ZUhsa_513	prozpívat se-002	substituted with v-w11570_ZUf2_ZU
prozpěvovat	v-w10559f2	prozpěvovat-001
prozradit	v-w4634f1	prozradit-001
prozradit se	v-whsa_1299f1_ZU	prozradit se-001
prozradit se	v-whsa_1299hsa_1300	prozradit se-001	substituted with v-whsa_1299f1_ZU
prozrazovat	v-w4636f1	prozrazovat-001
pročesat	v-w10269f2	pročesat-001
pročesat	v-w10269f3	pročesat-002
pročesávat	v-w4311f1	pročesávat-001
pročesávat	v-w4311f2	pročesávat-002
pročistit	v-w10059f2	pročistit-001
pročíst	v-whsa_1763hsa_1764	pročíst-001
pročítat	v-whsa_1216f1_ZU	pročítat-002
pročítat	v-whsa_1216hsa_1217	pročítat-001
prořeknout	v-whsa_1029f1_ZU	prořeknout-001
prořeknout	v-whsa_1029hsa_1030	prořeknout-001	substituted with v-whsa_1029f1_ZU
prořeknout se	v-w4518f1	prořeknout se-001
prořídnout	v-whsa_1060f2_ZU	prořídnout-001
prořídnout	v-whsa_1060f1_ZU	prořídnout-001	substituted with v-whsa_1060f2_ZU
prořídnout	v-whsa_1060hsa_1061	prořídnout-001	substituted with v-whsa_1060f2_ZU
prořítit se	v-w11424f1	prořítit se-001
prošetřit	v-w4565f1	prošetřit-001
prošetřovat	v-w4566f1	prošetřovat-001
proškolit	v-w4567f1	proškolit-001
proškolovat	v-w12243_ZUf1_ZU	proškolovat-001
prošlapat	v-w11568_ZUf1_ZU	prošlapat-001
prošlapávat	v-w11928_ZUf1_ZU	prošlapávat-001
prošlechťovat	v-whsa_1582hsa_1583	prošlechťovat-001
prošlápnout	v-whsa_2043hsa_2044	prošlápnout-001
prošoupat	v-w10371f2	prošoupat-001
prošoupávat	v-w10202f2	prošoupávat-001
prošpikovat	v-w11784_ZUf1_ZU	prošpikovat-001
prošťouchávat	v-whsa_345hsa_346	prošťouchávat-001
prožrat	v-w4643f1	prožrat-001
prožít	v-w4637f2	prožít-001
prožít	v-w4637f3	prožít-004
prožít	v-w4637f4	prožít-003
prožít	v-w4637f5_ZU	prožít-002
prožít	v-w4637f1	prožít-002	substituted with v-w4637f5_ZU
prožít si	v-w12349_MMf1_MM	prožít si-001
prožívat	v-w4641f1	prožívat-001
prožívat	v-w4641f4_ZU	prožívat-002
prožívat	v-w4641f2_ZU	prožívat-002	substituted with v-w4641f4_ZU
prožívat	v-w4641f3_ZU	prožívat-002	substituted with v-w4641f4_ZU
prát	v-whsa_1290f2_ZU	prát-001
prát	v-whsa_1290f1_ZU	prát-001	substituted with v-whsa_1290f2_ZU
prát	v-whsa_1290hsa_1291	prát-001	substituted with v-whsa_1290f2_ZU
prát	v-whsa_1290f3_ZU	prát-002
prát	v-whsa_1286hsa_1287	prát-003	obsolete
prát	v-whsa_1288hsa_1289	prát-004	obsolete
prát se	v-w4256f1	prát se-001
prýštit	v-w4660f1	prýštit-001
pršet	v-w4644f1	pršet-002
pršet	v-w4644f2	pršet-001
psát	v-w5369f3	psát-003
psát	v-w5369f4	psát-008
psát	v-w5369f5	psát-004
psát	v-w5369f7	psát-005
psát	v-w5369f8	psát-001
psát	v-w5369f9_ZU	psát-002
psát	v-w5369f6	psát-002	substituted with v-w5369f9_ZU
psát	v-w5369hsa_343	psát-002	substituted with v-w5369f9_ZU
psát	v-w5369f13_ZU	psát-006
psát	v-w5369f2	psát-006	substituted with v-w5369f13_ZU
psát	v-w5369f10_ZU	psát-006	substituted with v-w5369f13_ZU
psát	v-w5369f14_ZU	psát-007
psát	v-w5369f1	psát-007	substituted with v-w5369f14_ZU
psát	v-w5369f11_ZU	psát-007	substituted with v-w5369f14_ZU
psát	v-w5369f12_ZU	psát-007	substituted with v-w5369f14_ZU
psát si	v-whsa_1523f1_MM	psát si-001
psát si	v-whsa_1523hsa_1524	psát si-002	obsolete
psávat	v-w5370f1	psávat-001
ptát se	v-w5371f1	ptát se-001
ptát se	v-w5371f2	ptát se-002
ptávat se	v-w12117_ZUf1_ZU	ptávat se-001
publikovat	v-w5374f1	publikovat-001
publikovat	v-w5374f2	publikovat-002
pukat	v-whsa_137hsa_138	pukat-001
puknout	v-w5383f1	puknout-001
pulsovat	v-whsa_36hsa_37	pulsovat-001
pumpovat	v-whsa_857f1_ZU	pumpovat-002
pumpovat	v-whsa_857hsa_858	pumpovat-001
puncovat	v-whsa_1025hsa_1026	puncovat-001
pusinkovat	v-w5385f1	pusinkovat-002
pusinkovat	v-w5385f2	pusinkovat-001
pustit	v-w5390f1	pustit-002
pustit	v-w5390f2	pustit-003
pustit	v-w5390f3	pustit-001
pustit	v-w5390f4	pustit-006
pustit	v-w5390f5	pustit-007
pustit	v-w5390f6	pustit-005
pustit	v-w5390f7	pustit-004
pustit	v-w5390f9_ZU	pustit-008
pustit	v-w5390f8_ZU	pustit-008	substituted with v-w5390f9_ZU
pustit	v-w5390f10_ZU	pustit-009
pustit se	v-w5391f2	pustit se-001
pustit se	v-w5391f3	pustit se-002
pustit se	v-w5391f10_MM	pustit se-003
pustit se	v-w5391f1	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f4_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f5_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f6_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f7_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f8_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391f9_ZU	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391hsa_877	pustit se-003	substituted with v-w5391f10_MM
pustit se	v-w5391hsa_1801	pustit se-004
pustit se	v-w5391hsa_1802	pustit se-005
putovat	v-w5393f1	putovat-001
pykat	v-w5395f1	pykat-001
pytlačit	v-w5398f1	pytlačit-001
pyšnit se	v-w5396f1	pyšnit se-001
páchat	v-w3358f1	páchat-001
páchnout	v-w3360f1	páchnout-001
pádlovat	v-w11942_ZUf2_ZU	pádlovat-001
